pid,nameAttested,nameTransliterated,bbox,id,reprLat,reprLong,timePeriods,timePeriodsKeys,minDate,maxDate,geometry,featureType
/places/108729,NULL,Agedincum,"3.284003, 48.197748, 3.287168, 48.198029",darmc-location-11208,48.197888500000000000000000000000,3.285585500000000000000000000000,HRL,"hellenistic-republican,roman,late-antique",-330,640,"{""type"": ""Point"", ""coordinates"": [3.287168, 48.197748]}",unknown
/places/108729,NULL,Sens,NULL,sens,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [3.287168, 48.197748]}",unknown
/places/108729,NULL,Sens,NULL,darmc-location-11208,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [3.287168, 48.197748]}",unknown
/places/108729,NULL,Agedincum,"3.284003, 48.197748, 3.287168, 48.198029",agedincum,48.197888500000000000000000000000,3.285585500000000000000000000000,HRL,"hellenistic-republican,roman,late-antique",-330,640,"{""type"": ""Point"", ""coordinates"": [3.284003, 48.198029]}",settlement
/places/108729,NULL,Agedincum,"3.284003, 48.197748, 3.287168, 48.198029",dare-location,48.197888500000000000000000000000,3.285585500000000000000000000000,HRL,"hellenistic-republican,roman,late-antique",-330,640,"{""type"": ""Point"", ""coordinates"": [3.284003, 48.198029]}",settlement
/places/108729,NULL,Sens,NULL,sens,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [3.284003, 48.198029]}",settlement
/places/108729,NULL,Sens,NULL,dare-location,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [3.284003, 48.198029]}",settlement
/places/108732,NULL,Alisontia,"6.0, 49.0, 7.0, 50.0",alisontia,49.500000000000000000000000000000,6.500000000000000000000000000000,L,late-antique,300,640,"{""type"": ""Point"", ""coordinates"": [6.0965059, 49.845074]}","river,"
/places/108732,NULL,Alisontia,"6.0, 49.0, 7.0, 50.0",osm-location,49.500000000000000000000000000000,6.500000000000000000000000000000,L,late-antique,300,640,"{""type"": ""Point"", ""coordinates"": [6.0965059, 49.845074]}","river,"
/places/108735,NULL,Alta Ripa,"8.498955, 49.431501, 8.498955, 49.431501",alta-ripa,49.431501000000000000000000000000,8.498955000000000000000000000000,L,late-antique,300,640,"{""type"": ""Point"", ""coordinates"": [8.498955, 49.431501]}",unknown
/places/108735,NULL,Alta Ripa,"8.498955, 49.431501, 8.498955, 49.431501",darmc-location-2375,49.431501000000000000000000000000,8.498955000000000000000000000000,L,late-antique,300,640,"{""type"": ""Point"", ""coordinates"": [8.498955, 49.431501]}",unknown
/places/108736,NULL,Altiaia,"8.0, 49.0, 9.0, 50.0",altiaia,49.743064000000000000000000000000,8.114004000000000000000000000000,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [8.114004, 49.743064]}",unknown
/places/108736,NULL,Altiaia,"8.0, 49.0, 9.0, 50.0",darmc-location-7064,49.743064000000000000000000000000,8.114004000000000000000000000000,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [8.114004, 49.743064]}",unknown
/places/108736,NULL,Alzey,NULL,alzey,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [8.114004, 49.743064]}",unknown
/places/108736,NULL,Alzey,NULL,darmc-location-7064,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [8.114004, 49.743064]}",unknown
/places/108738,NULL,Altrier,NULL,altrier,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [6.327856, 49.750289]}",unknown
/places/108738,NULL,Altrier,NULL,darmc-location-11333,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [6.327856, 49.750289]}",unknown
/places/108739,NULL,Amanium,"5.317465, 50.548275, 5.317465, 50.548275",amanium,50.548275000000000000000000000000,5.317465000000000000000000000000,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [5.317465, 50.548275]}",unknown
/places/108739,NULL,Amanium,"5.317465, 50.548275, 5.317465, 50.548275",darmc-location-11339,50.548275000000000000000000000000,5.317465000000000000000000000000,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [5.317465, 50.548275]}",unknown
/places/108739,NULL,Amay,NULL,amay,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [5.317465, 50.548275]}",unknown
/places/108739,NULL,Amay,NULL,darmc-location-11339,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [5.317465, 50.548275]}",unknown
/places/108740,NULL,Ambiani,"1.0, 49.0, 2.0, 50.0",ambiani,49.500000000000000000000000000000,1.500000000000000000000000000000,HRL,"hellenistic-republican,roman,late-antique",-330,640,"{""type"": ""Polygon"", ""coordinates"": [[[1.0, 49.0], [1.0, 50.0], [2.0, 50.0], [2.0, 49.0], [1.0, 49.0]]]}",unknown
/places/108740,NULL,Ambiani,"1.0, 49.0, 2.0, 50.0",undetermined,49.500000000000000000000000000000,1.500000000000000000000000000000,HRL,"hellenistic-republican,roman,late-antique",-330,640,"{""type"": ""Polygon"", ""coordinates"": [[[1.0, 49.0], [1.0, 50.0], [2.0, 50.0], [2.0, 49.0], [1.0, 49.0]]]}",unknown
/places/108743,NULL,Andethanna,"6.0, 49.0, 7.0, 50.0",andethanna,49.651401000000000000000000000000,6.255967000000000000000000000000,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [6.255967, 49.651401]}",unknown
